"交易
日期",開盤,最高,最低,收盤,漲跌,"漲跌
(%)",成交資料,,,,法人買賣超(張),,,,"外資
持股
(%)",融資(張),,融券(張),,"券資
比
(%)"
,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,,增減,餘額,增減,餘額,
05/17,13.1,13.25,12.95,13,+0.05,+0.39%,"52,276","11,030",4.7,6.8,,,,,,,,,,
05/16,12.9,13,12.8,12.95,+0.05,+0.39%,"32,193","8,430",3.8,4.2,"-2,640",+16,-130,"-2,754",50,-826,"78,991",+240,"2,072",2.6
05/15,12.95,13.15,12.9,12.9,-0.1,-0.77%,"54,345","9,320",5.8,7.1,"-14,017",0,+738,"-13,279",50,+111,"79,817",-150,"1,832",2.3
05/14,12.8,13.1,12.6,13,+0.05,+0.39%,"68,436","12,817",5.3,8.8,"+7,027",0,"+1,841","+8,868",50.2,-364,"79,706",-135,"1,982",2.5
05/13,13.1,13.2,12.95,12.95,-0.25,-1.89%,"34,653","8,185",4.2,4.5,"-2,247",+17,+47,"-2,183",50.1,-230,"80,070",-231,"2,117",2.6
05/10,13.3,13.4,13.05,13.2,+0.05,+0.38%,"34,773","8,481",4.1,4.6,-657,+85,+312,-260,50.1,"+1,541","80,300",-295,"2,348",2.9
05/09,13.4,13.45,13,13.15,-0.3,-2.23%,"61,722","9,243",6.7,8.1,"+1,963",0,-664,"+1,299",50.1,"+1,500","78,759",-961,"2,643",3.4
05/08,13.35,13.55,13.3,13.45,-0.15,-1.1%,"53,979","9,154",5.9,7.2,"-12,468",0,+61,"-12,407",50.1,"+5,270","77,259",+30,"3,604",4.7
05/07,13.35,13.65,13.25,13.6,+0.4,+3.03%,"53,939","8,323",6.5,7.3,"+4,281","+1,464",+61,"+5,806",50.2,"-1,624","71,989",+442,"3,574",5
05/06,13.5,13.7,13.15,13.2,-0.65,-4.69%,"94,350","14,520",6.5,12.6,"-13,770",0,-526,"-14,296",50.1,"+4,080","73,613","-1,676","3,132",4.3
05/03,13.55,13.9,13.55,13.85,+0.3,+2.21%,"87,608","9,930",8.8,12.1,"-21,153","+1,057",-732,"-20,828",50.2,"+3,827","69,533",+227,"4,808",6.9
05/02,13.35,13.6,13.35,13.55,+0.1,+0.74%,"37,508","6,574",5.7,5.1,"+5,172","+1,124",+40,"+6,336",50.4,"-1,003","65,706",+161,"4,581",7
04/30,13.35,13.5,13.3,13.45,+0.1,+0.75%,"63,857","8,483",7.5,8.6,"-2,840",-22,+576,"-2,286",50.3,+652,"66,709",-87,"4,420",6.6
04/29,13.45,13.5,13.25,13.35,-0.1,-0.74%,"71,900","10,781",6.7,9.6,"+14,239",-10,"-1,391","+12,838",50.3,"+2,586","66,057",+129,"4,507",6.8
04/26,13.1,13.45,12.95,13.45,+0.35,+2.67%,"225,983","30,963",7.3,29.9,"+42,810",0,-247,"+42,563",50.2,"-18,965","63,471",+505,"4,378",6.9
04/25,12.6,13.1,12.6,13.1,+1.15,+9.62%,"185,935","20,956",8.9,24.1,"+35,889",0,"+1,399","+37,288",50,"+18,674","82,436","+1,884","3,873",4.7
04/24,12.05,12.1,11.85,11.95,0,0%,"39,689","7,097",5.6,4.7,"-5,135",0,+430,"-4,705",49.6,"+3,587","63,762",+104,"1,989",3.1
04/23,11.9,12,11.9,11.95,+0.05,+0.42%,"27,169","5,836",4.7,3.2,"+9,799",0,+835,"+10,634",49.7,+250,"60,175",+43,"1,885",3.1
04/22,12.15,12.15,11.9,11.9,-0.2,-1.65%,"28,203","7,040",4,3.4,"-2,436",-1,-136,"-2,573",49.6,"+2,859","59,925",+874,"1,842",3.1
04/19,12.05,12.1,12,12.1,+0.1,+0.83%,"24,015","4,054",5.9,2.9,"+9,894",0,"-1,430","+8,464",49.6,-106,"57,066",+42,968,1.7
04/18,12.25,12.3,11.9,12,-0.2,-1.64%,"48,687","7,577",6.4,5.9,"-3,769",-12,-588,"-4,369",49.5,"-2,746","57,172",-200,926,1.6
04/17,12.15,12.4,12.1,12.2,+0.1,+0.83%,"60,477","8,595",7,7.4,"-1,318",-71,"+4,436","+3,047",49.5,"+5,493","59,918",+426,"1,126",1.9
04/16,12.1,12.25,12,12.1,+0.05,+0.41%,"35,946","4,894",7.3,4.3,"+5,688",-108,-63,"+5,517",49.5,-766,"54,425",+17,700,1.3
04/15,12.25,12.3,12.05,12.05,-0.15,-1.23%,"34,868","4,420",7.9,4.2,+248,-83,-35,+130,49.4,+813,"55,191",-20,683,1.2
04/12,12.25,12.25,12.1,12.2,+0.1,+0.83%,"17,253","4,203",4.1,2.1,"+2,732",-6,-244,"+2,482",49.4,"-1,242","54,378",+351,703,1.3
04/11,12.35,12.45,12.1,12.1,-0.15,-1.22%,"89,310","15,083",5.9,11,"-13,741",+283,+24,"-13,434",49.4,"+2,483","55,620",+352,352,0.6
04/10,12.3,12.35,12.1,12.25,-0.05,-0.41%,"48,397","10,933",4.4,5.9,"+6,103",+450,"+1,354","+7,907",49.5,"+2,411","53,137",0,0,0
04/09,12,12.3,11.95,12.3,+0.4,+3.36%,"86,940","15,105",5.8,10.6,"+11,439",-81,"+1,980","+13,338",49.5,+718,"50,726",0,0,0
04/08,11.6,12.15,11.6,11.9,+0.35,+3.03%,"105,511","13,284",7.9,12.6,"+4,517",0,"+2,077","+6,594",49.4,"+3,483","50,008",-6,0,0
04/03,11.6,11.65,11.55,11.55,-0.05,-0.43%,"21,951","4,427",5,2.5,"-9,360",-60,+147,"-9,273",49.3,-41,"46,525","-1,975",6,0.01
04/02,11.65,11.7,11.55,11.6,+0.05,+0.43%,"23,155","4,970",4.7,2.7,"-1,997",+2,-20,"-2,015",49.5,-118,"46,566","-1,987","1,981",4.3
04/01,11.7,11.75,11.55,11.55,-0.1,-0.86%,"22,799","4,956",4.6,2.7,"-9,044",-1,+211,"-8,834",49.5,"+2,562","46,684",-647,"3,968",8.5
03/29,11.65,11.7,11.6,11.65,0,0%,"31,034","3,260",9.5,3.6,"-6,144",0,+52,"-6,092",49.6,+238,"44,122",-498,"4,615",10.5
03/28,11.65,11.7,11.6,11.65,0,0%,"28,281","4,022",7,3.3,"+2,259",0,-9,"+2,250",49.6,-483,"43,884",-51,"5,113",11.7
